Precinct,Number of Violation,Info
0,17961,Precinct: 0
1,3313,Precinct: 1
2,6,Precinct: 2
3,1,Precinct: 3
4,1,Precinct: 4
5,1557,Precinct: 5
6,1729,Precinct: 6
7,1031,Precinct: 7
8,5,Precinct: 8
9,1598,Precinct: 9
10,1682,Precinct: 10
11,2,Precinct: 11
12,3,Precinct: 12
13,3120,Precinct: 13
14,4135,Precinct: 14
15,3,Precinct: 15
16,2,Precinct: 16
17,2673,Precinct: 17
18,4306,Precinct: 18
19,5987,Precinct: 19
20,2375,Precinct: 20
21,1,Precinct: 21
22,15,Precinct: 22
23,979,Precinct: 23
24,1492,Precinct: 24
25,621,Precinct: 25
26,570,Precinct: 26
27,19,Precinct: 27
28,831,Precinct: 28
30,597,Precinct: 30
32,547,Precinct: 32
33,1031,Precinct: 33
34,1225,Precinct: 34
35,2,Precinct: 35
36,1,Precinct: 36
37,1,Precinct: 37
40,882,Precinct: 40
41,484,Precinct: 41
42,433,Precinct: 42
43,1261,Precinct: 43
44,924,Precinct: 44
45,917,Precinct: 45
46,1227,Precinct: 46
47,1096,Precinct: 47
48,932,Precinct: 48
49,1305,Precinct: 49
50,862,Precinct: 50
52,1568,Precinct: 52
53,1,Precinct: 53
60,635,Precinct: 60
61,1810,Precinct: 61
62,1383,Precinct: 62
63,668,Precinct: 63
65,1,Precinct: 65
66,1562,Precinct: 66
67,948,Precinct: 67
68,1410,Precinct: 68
69,461,Precinct: 69
70,1954,Precinct: 70
71,670,Precinct: 71
72,883,Precinct: 72
73,468,Precinct: 73
74,1,Precinct: 74
75,774,Precinct: 75
76,501,Precinct: 76
77,988,Precinct: 77
78,1250,Precinct: 78
79,799,Precinct: 79
81,283,Precinct: 81
82,1,Precinct: 82
83,753,Precinct: 83
84,2218,Precinct: 84
87,2,Precinct: 87
88,870,Precinct: 88
89,3,Precinct: 89
90,1511,Precinct: 90
92,1,Precinct: 92
94,1105,Precinct: 94
95,2,Precinct: 95
96,2,Precinct: 96
98,1,Precinct: 98
99,1,Precinct: 99
100,270,Precinct: 100
101,256,Precinct: 101
102,1365,Precinct: 102
103,1902,Precinct: 103
104,1362,Precinct: 104
105,853,Precinct: 105
106,907,Precinct: 106
107,1313,Precinct: 107
108,1607,Precinct: 108
109,2538,Precinct: 109
110,1325,Precinct: 110
111,519,Precinct: 111
112,1881,Precinct: 112
113,410,Precinct: 113
114,3173,Precinct: 114
115,2003,Precinct: 115
120,442,Precinct: 120
121,238,Precinct: 121
122,365,Precinct: 122
123,113,Precinct: 123
124,1,Precinct: 124
125,1,Precinct: 125
142,1,Precinct: 142
149,1,Precinct: 149
160,1,Precinct: 160
205,1,Precinct: 205
222,1,Precinct: 222
224,1,Precinct: 224
243,1,Precinct: 243
401,1,Precinct: 401
419,1,Precinct: 419
428,1,Precinct: 428
477,1,Precinct: 477
670,1,Precinct: 670
721,1,Precinct: 721
807,1,Precinct: 807
813,1,Precinct: 813
978,1,Precinct: 978
